0;565;18
1;226;44
2;906;52
3;229;12
4;None;None
5;457;22
6;119;13
7;120;40
8;170;75
9;None;None
10;776;94
11;341;54
12;916;6
13;None;None
14;None;None
15;689;58
16;354;62
17;None;None
18;567;69
19;471;32
20;359;53
21;134;79
22;135;42
23;None;None
24;815;60
25;477;26
26;None;None
27;124;65
28;592;72
29;820;2
30;143;77
31;709;0
32;710;3
33;711;74
34;147;1
35;148;43
36;198;95
37;None;None
38;829;27
39;604;48
40;943;59
41;719;20
42;380;45
43;494;64
44;609;73
45;384;9
46;950;4
47;386;29
48;726;23
49;158;24
50;498;71
51;160;50
52;None;None
53;166;36
54;957;80
55;564;92
56;169;10
57;283;68
58;284;63
59;510;76
60;487;99
61;739;15
62;None;None
63;942;83
64;None;None
65;None;None
66;518;47
67;745;31
68;294;98
69;182;5
70;634;55
71;636;97
72;637;96
73;864;11
74;977;93
75;188;33
76;527;56
77;303;21
78;982;38
79;None;None
80;419;41
81;420;91
82;986;30
83;760;34
84;648;67
85;875;70
86;990;19
87;652;8
88;993;89
89;763;78
90;767;81
91;316;86
92;996;17
93;544;49
94;433;14
95;659;16
96;208;37
97;887;66
98;772;25
99;325;51
100;326;82
101;431;57
102;441;28
103;546;39
104;782;88
105;896;85
106;558;7
107;672;35
108;657;61
109;561;84
110;992;90
111;333;87
112;903;46
