0;198;95
1;143;77
2;208;37
3;518;47
4;776;94
5;726;23
6;829;27
7;419;41
8;648;67
9;561;84
10;564;92
11;316;86
12;527;56
13;634;55
14;None;None
15;711;74
16;119;13
17;120;40
18;739;15
19;431;57
20;226;44
21;433;14
22;124;65
23;950;4
24;229;12
25;745;31
26;326;82
27;957;80
28;333;87
29;441;28
30;544;49
31;546;39
32;135;42
33;341;54
34;652;8
35;943;59
36;636;97
37;637;96
38;None;None
39;760;34
40;864;11
41;659;16
42;763;78
43;558;7
44;147;1
45;457;22
46;148;43
47;134;79
48;657;61
49;354;62
50;565;18
51;772;25
52;325;51
53;567;69
54;672;35
55;158;24
56;982;38
57;160;50
58;420;91
59;986;30
60;471;32
61;782;88
62;767;81
63;990;19
64;166;36
65;477;26
66;169;10
67;887;66
68;170;75
69;996;17
70;993;89
71;380;45
72;689;58
73;896;85
74;992;90
75;384;9
76;875;70
77;386;29
78;284;63
79;182;5
80;903;46
81;283;68
82;906;52
83;494;64
84;487;99
85;188;33
86;359;53
87;498;71
88;294;98
89;604;48
90;None;None
91;709;0
92;710;3
93;916;6
94;815;60
95;609;73
96;942;83
97;303;21
98;510;76
99;820;2
100;977;93
101;719;20
102;592;72
